"SYNAO_IDENT","TSYNAO_IDENT","INGA_IDENT","SYNAO_LIBELLE","SYNAO_ORDRE","SYNAO_OBSOLET"
"338","2","814","calcium",,"False"
"339","2","839","zinc",,"False"
"340","2","1116","carbonate de calcium",,"False"
"341","2","1203","éthylcellulose",,"False"
"342","2","1252","silicate alumino-calcique",,"False"
"343","2","773","manganèse",,"False"
"344","2","1177","carraghénanes",,"False"
"345","2","1069","polydextrose",,"False"
"346","2","1159","acide phosphorique",,"False"
"347","2","1097","octényle succinate d'amidon sodique",,"False"
"348","2","1274","5'-ribonucléotide calcique",,"False"
"349","2","854","calcium",,"False"
"350","2","1181","gomme adragante, tragacanthe",,"False"
"351","2","1268","guanylate dipotassique",,"False"
"353","2","1303","érythritol",,"False"
"354","2","809","potassium",,"False"
"355","2","846","vitamine A",,"False"
"356","2","1132","acide malique",,"False"
"357","2","1198","triphosphates",,"False"
"358","2","1255","acide gluconique",,"False"
"359","2","784","iode",,"False"
"360","2","828","chrome",,"False"
"361","2","1261","glutamate monosodique",,"False"
"362","2","754","vitamine E",,"False"
"363","2","1076","Copolymère de méthacrylate anionique",,"False"
"364","2","1151","acide citrique",,"False"
"365","2","1072","alcool polyvinylique",,"False"
"366","2","1234","chlorure de magnésium",,"False"
"367","2","1175","alginate de propane-1,2 diol",,"False"
"368","2","1254","acides gras",,"False"
"369","2","1286","protoxyde d'azote",,"False"
"370","2","1145","butylhydroxyanisol (BHA)",,"False"
"371","2","969","carnitine",,"False"
"372","2","692","vitamine C",,"False"
"373","2","712","calcium",,"False"
"374","2","1209","carboxyméthylcellulose hydrolysée de manière enzymatique",,"False"
"375","2","750","vitamine B8",,"False"
"376","2","1077","Copolymère d'acétate de vinyle et de polyvinylpyrrolidone",,"False"
"377","2","1137","extrait riche en tocophérols",,"False"
"378","2","1265","diglutamate de magnésium",,"False"
"380","2","822","molybdène",,"False"
"381","2","1067","invertase",,"False"
"382","2","1104","noir brillant BN",,"False"
"383","2","870","zinc",,"False"
"384","2","802","sélénium",,"False"
"385","2","864","cuivre",,"False"
"387","2","1264","glutamate d'ammonium",,"False"
"388","2","777","vitamine B12",,"False"
"389","2","808","magnésium",,"False"
"390","2","1125","benzoate de calcium",,"False"
"391","2","778","calcium",,"False"
"392","2","832","zinc",,"False"
"393","2","865","magnésium",,"False"
"394","2","1224","monolaurate de sorbitane",,"False"
"396","2","733","potassium",,"False"
"398","2","1081","rouge allura AC",,"False"
"399","2","807","calcium",,"False"
"400","2","1108","caroténoïde",,"False"
"401","2","926","créatine",,"False"
"402","2","693","calcium",,"False"
"403","2","699","magnésium",,"False"
"404","2","1207","carboxyméthylcellulose",,"False"
"405","2","1285","azote",,"False"
"406","2","748","vitamine B12",,"False"
"407","2","1086","amidon oxydé",,"False"
"408","2","1114","rouge de betterave",,"False"
"409","2","1147","lécithines",,"False"
"410","2","759","fluor",,"False"
"411","2","1247","silicate de calcium",,"False"
"412","2","744","sodium",,"False"
"413","2","1237","sulfates de potassium",,"False"
"414","2","1240","hydroxyde de potassium",,"False"
"415","2","737","zinc",,"False"
"416","2","1096","phosphate de diamidon hydroxypropylé",,"False"
"417","2","1168","citrate de triammonium",,"False"
"418","2","1292","isomalt",,"False"
"419","2","1215","esters citriques des mono- et diglycérides d'acides gras",,"False"
"420","2","775","vitamine B3",,"False"
"421","2","1196","pectines",,"False"
"422","2","719","calcium",,"False"
"423","2","1202","méthylcellulose",,"False"
"424","2","1291","acide cyclamique et ses sels de Na et de Ca",,"False"
"425","2","1289","acésulfame K",,"False"
"426","2","1189","konjac",,"False"
"427","2","1276","glycine et son sel de sodium",,"False"
"428","2","794","magnésium",,"False"
"429","2","796","vitamine C",,"False"
"430","2","1148","lactate de sodium",,"False"
"431","2","1225","monooléate de sorbitane",,"False"
"432","2","799","manganèse",,"False"
"433","2","858","sodium",,"False"
"434","2","1215","citrem",,"False"
"435","2","793","vitamine C",,"False"
"436","2","914","chondroïtine",,"False"
"437","2","1231","chlorure d'hydrogène",,"False"
"438","2","1159","acide orthophosphorique",,"False"
"439","2","823","potassium",,"False"
"440","2","1070","polyvidone",,"False"
"441","2","1241","chaux éteinte",,"False"
"442","2","1079","carmoisine",,"False"
"443","2","1244","chaux vive",,"False"
"444","2","1092","vert brillant BS",,"False"
"445","2","1210","stéarate de sodium",,"False"
"447","2","1109","bixine",,"False"
"448","2","1256","gluconolactone",,"False"
"449","2","1265","glutamate de magnésium",,"False"
"450","2","1293","saccharine de sodium",,"False"
"451","2","1099","citrate d'éthyle",,"False"
"452","2","1270","acide 5'-inosinique",,"False"
"453","2","1220","glycérides de sucre",,"False"
"455","2","729","chlore",,"False"
"456","2","1069","polydextroses modifiés",,"False"
"457","2","1104","noir PN",,"False"
"458","2","824","sodium",,"False"
"459","2","1176","gélose",,"False"
"460","2","1237","sulfate de potassium",,"False"
"461","2","1272","inosinate de potassium",,"False"
"462","2","1154","citrate monocalcique",,"False"
"463","2","1206","méthyléthylcellulose",,"False"
"464","2","1236","sulfate de sodium",,"False"
"465","2","1239","soude caustique",,"False"
"466","2","1068","acide carminique",,"False"
"467","2","1071","crospovidone",,"False"
"468","2","1249","métasilicate acide de magnésium",,"False"
"469","2","1290","ester méthylique d'aspartyl-phénylalanine",,"False"
"470","2","1214","lactoglycérides",,"False"
"471","2","1275","ribonucléotide 5' de sodium",,"False"
"472","2","1253","kaolin",,"False"
"473","2","1123","sel de sodium de l'acide benzènecarboxylique",,"False"
"474","2","852","sodium",,"False"
"475","2","1262","glutamate de potassium",,"False"
"476","2","1269","guanylate-5' de calcium",,"False"
"477","2","1197","diphosphate disodique",,"False"
"478","2","1248","trisilicate de magnésium",,"False"
"479","2","1113","caroténoïdes mélangés",,"False"
"480","2","1172","sel potassique de l'acide alginique",,"False"
"481","2","1093","acétate d'amidon",,"False"
"482","2","1062","jaune de curcuma",,"False"
"483","2","1189","gomme de konjac",,"False"
"484","2","1277","diméthyle siloxane",,"False"
"485","2","1188","glycérine",,"False"
"486","2","1271","inosinate de sodium",,"False"
"487","2","1085","chlorophyllines",,"False"
"488","2","1263","glutamate de calcium",,"False"
"489","2","1114","bétanine",,"False"
"490","2","1158","sel de Rochelle",,"False"
"491","2","1221","esters polyglycérines d'esters d'acides gras",,"False"
"492","2","850","fer",,"False"
"493","2","1152","citrate monosodique",,"False"
"494","2","1276","glycine",,"False"
"496","2","776","sodium",,"False"
"497","2","1227","carbonate de sodium",,"False"
"498","2","1303","méso-érythritol",,"False"
"499","2","782","potassium",,"False"
"500","2","1289","acésulfame de potassium",,"False"
"501","2","1254","acide caprylique",,"False"
"502","2","1124","sel de potassium de l'acide benzènecarboxylique",,"False"
"503","2","1160","phosphate monosodique",,"False"
"504","2","1292","isomaltulose hydrogéné",,"False"
"505","2","1147","phosphatides",,"False"
"506","2","1080","rouge cochenille A",,"False"
"507","2","1087","complexes cuivre-chlorophylles",,"False"
"508","2","760","potassium",,"False"
"509","2","1161","phosphate monopotassique",,"False"
"510","2","1118","oxyde de fer rouge",,"False"
"511","2","1153","citrate monopotassique",,"False"
"512","2","1143","lauryl gallate",,"False"
"513","2","1196","pectine",,"False"
"514","2","1209","gomme de cellulose hydrolysée de manière enzymatique",,"False"
"515","2","1301","lactite",,"False"
"516","2","1128","acétate de sodium",,"False"
"517","2","1157","tartrate monopotassique",,"False"
"518","2","1211","stéarate de magnésium",,"False"
"519","2","1242","liqueur ammoniacale",,"False"
"520","2","1198","triphosphate pentasodique",,"False"
"521","2","1235","acide sulfurique",,"False"
"522","2","1187","sirop de sorbitol",,"False"
"523","2","1300","D-maltitol",,"False"
"524","2","1163","phosphate monomagnésique",,"False"
"525","2","730","chlore",,"False"
"526","2","1125","benzoate de monocalcium",,"False"
"527","2","1175","alginate d'hydroxypropyle",,"False"
"528","2","825","sodium",,"False"
"529","2","784","potassium",,"False"
"530","2","1219","esters de sucre",,"False"
"531","2","1267","guanylate-5' disodique",,"False"
"532","2","1165","sel de potassium de l'acide malique",,"False"
"533","2","753","fer",,"False"
"534","2","785","sodium",,"False"
"535","2","1063","phosphate-5' de riboflavine",,"False"
"536","2","1174","sel calcique de l'acide alginique",,"False"
"537","2","1066","jaune orangé S",,"False"
"538","2","1141","ester propylique de l'acide gallique",,"False"
"539","2","1207","carboxyméthylcellulose de sodium",,"False"
"541","2","797","zinc",,"False"
"542","2","1166","malate de calcium",,"False"
"543","2","1296","dihydrochalcone de néohespéridine",,"False"
"544","2","1108","caroténoïdes mélangés",,"False"
"545","2","761","sodium",,"False"
"546","2","1203","éther éthylique de cellulose",,"False"
"547","2","1273","5'-inosinate de calcium",,"False"
"548","2","1097","SSOS",,"False"
"549","2","1260","acide L-a-aminoglutarique",,"False"
"550","2","1261","glutamate de sodium",,"False"
"551","2","743","potassium",,"False"
"552","2","1171","sel sodique de l'acide alginique",,"False"
"553","2","1116","craie",,"False"
"554","2","1164","malate de sodium",,"False"
"555","2","1110","capsanthine",,"False"
"556","2","1173","sel ammoniacal de l'acide alginique",,"False"
"557","2","1136","palmitate d'ascorbyle",,"False"
"558","2","1201","gel de cellulose",,"False"
"559","2","1202","éther méthylique de cellulose",,"False"
"560","2","1213","mono- et diglycérides acétylés",,"False"
"561","2","1251","mica",,"False"
"562","2","1264","glutamate d'ammonium",,"False"
"563","2","1278","cire blanche",,"False"
"564","2","1204","éther hydroxypropylique de cellulose",,"False"
"565","2","1232","sylvite",,"False"
"566","2","1122","acide benzènecarboxylique",,"False"
"567","2","1228","carbonate de potassium",,"False"
"568","2","1230","carbonate de magnésium",,"False"
"569","2","1083","carmin d'indigo",,"False"
"570","2","1266","acide 5'-guanylique",,"False"
"571","2","1156","sel monosodique de l'acide de L(+) tartrique",,"False"
"572","2","794","vitamine C",,"False"
"574","2","1229","carbonate d'ammonium",,"False"
"575","2","759","calcium",,"False"
"576","2","1131","gaz de l'acide carbonique",,"False"
"577","2","1268","guanylate-5' potassique",,"False"
"578","2","1199","polyphosphate sodique",,"False"
"579","2","718","sodium",,"False"
"580","2","1142","ester octylique de l'acide gallique",,"False"
"581","2","1291","acide cyclohexylsulfamique",,"False"
"582","2","1063","riboflavine-5'-phosphate de sodium",,"False"
"583","2","1066","yellow Sunsetl FCF",,"False"
"584","2","1068","carmins",,"False"
"585","2","1070","PVP",,"False"
"586","2","1071","polyvidone réticulée",,"False"
"587","2","1085","chlorophylle au magnésium",,"False"
"588","2","1087","chlorophylle cuivrique",,"False"
"590","2","1108","bêta-carotène",,"False"
"591","2","1109","norbixine",,"False"
"592","2","1110","capsorubine",,"False"
"593","2","1113","xanthophylles",,"False"
"594","2","1118","oxyde de fer jaune",,"False"
"595","2","1122","acide phénylcarboxylique",,"False"
"596","2","1123","sel de sodium de l'acide phénylcarboxylique",,"False"
"597","2","1124","sel de potassium de l'acide phénylcarboxylique",,"False"
"598","2","1125","dibenzoate de calcium",,"False"
"599","2","1128","diacétate de sodium",,"False"
"600","2","1131","glace sèche, neige carbonique",,"False"
"601","2","1136","stéarate d'ascorbyle",,"False"
"602","2","1143","ester dodecylique de l'acide gallique",,"False"
"603","2","1147","phospholipides",,"False"
"604","2","1152","citrate disodique",,"False"
"605","2","1153","citrate tripotassique",,"False"
"606","2","1154","citrate dicalcique",,"False"
"607","2","1156","tartrate monosodique",,"False"
"608","2","1157","sel monopotassique de l'acide de L(+) tartrique",,"False"
"609","2","1158","sel de Seignette",,"False"
"610","2","1159","acide monophosphorique",,"False"
"611","2","1160","phosphate disodique",,"False"
"612","2","1161","phosphate dipotassique",,"False"
"614","2","1163","dihydrogéno-phosphate de magnésium",,"False"
"615","2","1164","malate acide de sodium",,"False"
"616","2","1166","malate acide de calcium",,"False"
"617","2","1174","sel calcique de l'acide alginique",,"False"
"618","2","1175","alginate de propylène glycol",,"False"
"619","2","1187","sirop de D-glucitol",,"False"
"620","2","1189","glucomannane de konjac",,"False"
"621","2","1196","pectine amidée",,"False"
"622","2","1197","pyrophosphate disodique",,"False"
"623","2","1198","tripolyphosphate pentasodique",,"False"
"624","2","1199","polyphosphate potassique",,"False"
"625","2","1201","cellulose microcristalline",,"False"
"626","2","1207","gomme de cellulose",,"False"
"627","2","1210","stéarate de potassium",,"False"
"628","2","1215","citroglycérides",,"False"
"629","2","1227","carbonate de soude",,"False"
"630","2","1228","carbonate acide de potassium",,"False"
"631","2","1229","carbonate acide d'ammonium",,"False"
"632","2","1230","carbonate acide de magnésium",,"False"
"633","2","1232","sylvine",,"False"
"634","2","1235","vitriol",,"False"
"635","2","1236","sulfate acide de sodium",,"False"
"636","2","1237","sulfate acide de potassium",,"False"
"637","2","1242","solution d'ammoniaque",,"False"
"638","2","1254","acide caprique",,"False"
"639","2","1261","MSG",,"False"
"640","2","1262","MPG",,"False"
"641","2","1271","5'-inosinate sodique",,"False"
"642","2","1272","5'-inosinate potassique",,"False"
"643","2","1276","acide aminoacétique",,"False"
"644","2","1277","fluide de silicones",,"False"
"645","2","1278","cire jaune",,"False"
"647","2","1291","cyclamate",,"False"
"648","2","1292","palatinose hydrogéné",,"False"
"649","2","1293","saccharine de calcium",,"False"
"650","2","1296","NHDC",,"False"
"651","2","1300","maltose hydrogéné",,"False"
"652","2","1301","lactositol",,"False"
"653","2","1303","tétrahydroxybutane",,"False"
"654","2","1085","phéophytine au magnésium",,"False"
"655","2","1087","phéophytine cuivrique",,"False"
"657","2","1118","oxyde de fer noir",,"False"
"658","2","1131","anhydride carbonique",,"False"
"659","2","1152","citrate trisodique",,"False"
"660","2","1154","citrate tricalcique",,"False"
"661","2","1156","tartrate dipotassique",,"False"
"662","2","1157","tartrate dipotassique",,"False"
"663","2","1160","monophosphate disodique",,"False"
"664","2","1161","monophosphate dipotassique",,"False"
"666","2","1163","orthophosphate monomagnésique",,"False"
"667","2","1164","sel sodique de l'acide malique",,"False"
"668","2","1166","sel de calcium de l'acide malique",,"False"
"669","2","1187","D-glucitol",,"False"
"670","2","1197","diphosphate trisodique",,"False"
"671","2","1198","tripolyphosphate de sodium",,"False"
"672","2","1199","polyphosphate calco-sodique",,"False"
"673","2","1201","cellulose en poudre",,"False"
"674","2","1210","stéarate de calcium",,"False"
"675","2","1227","carbonate acide de sodium",,"False"
"676","2","1228","bicarbonate de potassium",,"False"
"677","2","1229","bicarbonate d'ammonium",,"False"
"678","2","1236","bisulfate de sodium",,"False"
"679","2","1237","bisulfate de potassium",,"False"
"680","2","1254","acide laurique",,"False"
"681","2","1276","glycocolle",,"False"
